@I [SIM-47] Using XSIM for RTL simulation.
@I [SIM-14] Instrumenting C test bench ...
   Build using "D:/Xilinx/Vivado_HLS/2015.4/msys/bin/g++.exe"
   Compiling apatb_stepGen.cpp
   Compiling stepGen.cpp_pre.cpp.tb.cpp
   Compiling test_stepGen.cpp_pre.cpp.tb.cpp
   Generating cosim.tv.exe
@I [SIM-302] Starting C TB testing ... 
@I [SIM-333] Generating C post check test bench ...
@I [SIM-12] Generating RTL test bench ...
@I [SIM-323] Starting verilog simulation. 
@I [SIM-15] Starting XSIM ...
@I [SIM-316] Starting C post checking ...
Val on out[0]=40960
Val on out[1]=40960
Val on out[2]=24576
Val on out[3]=24576
Val on out[4]=40960
Val on out[5]=40960
Val on out[6]=24576
Val on out[7]=24576
Val on out[8]=40960
Val on out[9]=40960
Val on out[10]=24576
Val on out[11]=24576
Val on out[12]=40960
Val on out[13]=40960
Val on out[14]=24576
Val on out[15]=24576
Val on out[16]=40960
Val on out[17]=40960
Val on out[18]=24576
Val on out[19]=24576
Val on out[20]=40960
Val on out[21]=40960
Val on out[22]=24576
Val on out[23]=24576
Val on out[24]=40960
Val on out[25]=40960
Val on out[26]=24576
Val on out[27]=24576
Val on out[28]=40960
Val on out[29]=40960
Val on out[30]=24576
Val on out[31]=24576
Val on out[32]=40960
Val on out[33]=40960
Val on out[34]=24576
Val on out[35]=24576
Val on out[36]=40960
Val on out[37]=40960
Val on out[38]=24576
Val on out[39]=24576
Val on out[40]=40960
Val on out[41]=40960
Val on out[42]=24576
Val on out[43]=24576
Val on out[44]=40960
Val on out[45]=40960
Val on out[46]=24576
Val on out[47]=24576
Val on out[48]=40960
Val on out[49]=40960
Val on out[50]=24576
Val on out[51]=24576
Val on out[52]=40960
Val on out[53]=40960
Val on out[54]=24576
Val on out[55]=24576
Val on out[56]=40960
Val on out[57]=40960
Val on out[58]=24576
Val on out[59]=24576
Val on out[60]=40960
Val on out[61]=40960
Val on out[62]=24576
Val on out[63]=24576
Val on out[64]=40960
Val on out[65]=40960
Val on out[66]=24576
Val on out[67]=24576
Val on out[68]=40960
Val on out[69]=40960
Val on out[70]=24576
Val on out[71]=24576
Val on out[72]=40960
Val on out[73]=40960
Val on out[74]=24576
Val on out[75]=24576
Val on out[76]=40960
Val on out[77]=40960
Val on out[78]=24576
Val on out[79]=24576
Val on out[80]=40960
Val on out[81]=40960
Val on out[82]=24576
Val on out[83]=24576
Val on out[84]=40960
Val on out[85]=40960
Val on out[86]=24576
Val on out[87]=24576
Val on out[88]=40960
Val on out[89]=40960
Val on out[90]=24576
Val on out[91]=24576
Val on out[92]=40960
Val on out[93]=40960
Val on out[94]=24576
Val on out[95]=24576
Val on out[96]=40960
Val on out[97]=40960
Val on out[98]=24576
Val on out[99]=24576
Val on out[100]=40960
Val on out[101]=40960
Val on out[102]=24576
Val on out[103]=24576
Val on out[104]=40960
Val on out[105]=40960
Val on out[106]=24576
Val on out[107]=24576
Val on out[108]=40960
Val on out[109]=40960
Val on out[110]=24576
Val on out[111]=24576
Val on out[112]=40960
Val on out[113]=40960
Val on out[114]=24576
Val on out[115]=24576
Val on out[116]=40960
Val on out[117]=40960
Val on out[118]=24576
Val on out[119]=24576
Val on out[120]=40960
Val on out[121]=40960
Val on out[122]=24576
Val on out[123]=24576
Val on out[124]=40960
Val on out[125]=40960
Val on out[126]=24576
Val on out[127]=24576
Val on out[128]=40960
Val on out[129]=40960
Val on out[130]=24576
Val on out[131]=24576
Val on out[132]=40960
Val on out[133]=40960
Val on out[134]=24576
Val on out[135]=24576
Val on out[136]=40960
Val on out[137]=40960
Val on out[138]=24576
Val on out[139]=24576
Val on out[140]=40960
Val on out[141]=40960
Val on out[142]=24576
Val on out[143]=24576
Val on out[144]=40960
Val on out[145]=40960
Val on out[146]=24576
Val on out[147]=24576
Val on out[148]=40960
Val on out[149]=40960
Val on out[150]=24576
Val on out[151]=24576
Val on out[152]=40960
Val on out[153]=40960
Val on out[154]=24576
Val on out[155]=24576
Val on out[156]=40960
Val on out[157]=40960
Val on out[158]=24576
Val on out[159]=24576
Val on out[160]=40960
Val on out[161]=40960
Val on out[162]=24576
Val on out[163]=24576
Val on out[164]=40960
Val on out[165]=40960
Val on out[166]=24576
Val on out[167]=24576
Val on out[168]=40960
Val on out[169]=40960
Val on out[170]=24576
Val on out[171]=24576
Val on out[172]=40960
Val on out[173]=40960
Val on out[174]=24576
Val on out[175]=24576
Val on out[176]=40960
Val on out[177]=40960
Val on out[178]=24576
Val on out[179]=24576
Val on out[180]=40960
Val on out[181]=40960
Val on out[182]=24576
Val on out[183]=24576
Val on out[184]=40960
Val on out[185]=40960
Val on out[186]=24576
Val on out[187]=24576
Val on out[188]=40960
Val on out[189]=40960
Val on out[190]=24576
Val on out[191]=24576
Val on out[192]=40960
Val on out[193]=40960
Val on out[194]=24576
Val on out[195]=24576
